city,line,start_year,end_year,rr,length,tunnel_per,tunnel,stations,ppp_rate,real_cost,cost_km_millions
Chengdu,Line 27 Phase 1,2019,2024,0.0,22.2,59.46%,13.2,20.0,0.2382,3528.59,158.95
Hangzhou,Line 7,2017,2021,0.0,45.0,100.00%,45.0,24.0,0.239,6930.45,154.01
Taiyuan,Line 1 Phase 1,2014,2018,0.0,24.1,,,21.0,0.2808,4434.15,183.99
Changsha,Line 4 Phase 1,2013,2017,0.0,33.5,,,24.0,0.2808,6160.63,183.9
Suzhou,Line 6,2018,2023,0.0,34.2,100.00%,34.2,28.0,0.2379,5647.00,165.12
Xi'an,Line 15 Phase 1,2020,2025,0.0,19.0,100.00%,19.0,11.0,0.2382,2962.36,155.91
Guiyang,S2 Phase 1 North,2017,2021,0.0,32.1,98.44%,31.6,16.0,0.239,4882.89,152.11
Changsha,Line 2 West Extension Phase 2,2017,2021,0.0,13.99,98.50%,13.78,11.0,0.2382,2653.07,189.64
Kunming,Line 1 Feeder,2013,2015,0.0,5.2,100.00%,5.2,4.0,0.2729,902.29,173.52
Hangzhou,Line 2 Phase 3,2017,2020,0.0,1.6,,,1.0,0.239,236.14,147.59
Zhengzhou,Line 8 Phase 1,2020,2024,0.0,50.63,100.00%,50.63,27.0,0.2382,7389.11,145.94
Chengdu,Line 19 Phase 2,2019,2024,0.0,45.6,100.00%,45.6,10.0,0.2382,6771.08,148.49
Taiyuan,Line 2 Phase 1,2012,2016,0.0,25.1,,,22.0,0.2808,4251.33,169.38
Shenyang,Line 3 Phase 1,2019,2025,0.0,38.4,,,28.0,0.2382,5509.77,143.48
Guangzhou,Line 3 Eastern Extension,2019,2022,0.0,9.6,100.00%,9.6,4.0,0.2382,1357.26,141.38
Beijing,Daxing Line,2007,2010,0.0,21.8,80.28%,17.5,11.0,0.3323,3632.44,166.63
Xi'an,Line 16 Phase 1,2019,2024,0.0,15.1,100.00%,15.1,8.0,0.2382,2109.81,139.72
Tianjin,Z2 Phase 1,2017,2020,0.0,52.8,33.90%,17.9,5.0,0.2583,7743.48,146.66
Kunming,Line 3 Phase 2,2016,2018,0.0,4.0,0.00%,,3.0,0.2729,618.72,154.68
Changchun,Line 2 Eastern Extension,2020,2025,0.0,9.1,100.00%,9.1,6.0,0.2379,1220.50,134.12
Hangzhou,Line 5 Phase 2,2017,2020,0.0,3.2,,,2.0,0.239,419.22,131.01
Guiyang,S1 Phase 1,2016,2020,0.0,28.5,52.98%,15.1,12.0,0.239,3699.57,129.81
Changsha,Line 2 West Extension Phase 1,2012,2015,0.0,4.5,100.00%,4.5,4.0,0.2808,692.50,153.89
Beijing,Line 5,2002,2007,0.0,27.6,,,23.0,0.3545,4253.81,154.12
Chongqing,Ring Line,2012,2016,0.0,50.47,,,33.0,0.2729,7459.06,147.79
Changsha,Line 1 North Extension Phase 1,2017,2021,0.0,9.93,54.38%,5.4,5.0,0.2382,1271.27,128.02
Kunming,Line 5,2015,2018,0.0,24.0,,,20.0,0.2729,3523.74,146.82
Xiamen,Line 4,2017,2022,0.0,69.6,44.83%,31.2,18.0,0.239,8665.39,124.5
Chongqing,Line 6 Branch (EXPO) Phase 2,2016,2020,0.0,13.99,63.83%,8.93,7.0,0.2379,1777.83,127.08
Nanjing,Line 3 Phase 3,2015,2017,0.0,6.6,100.00%,6.6,2.0,0.2583,870.58,131.91
Chongqing,Line 9 Phase 2,2016,2020,0.0,10.77,,,5.0,0.2729,1531.93,142.24
Chongqing,Line 9,2015,2020,0.0,39.0,93.38%,36.417,26.0,0.2729,6369.81,163.33
Chongqing,Line 4 Phase 1,2013,2018,0.0,15.77,70.07%,11.05,9.0,0.2729,2403.11,152.38
Nanchang,Line 1 Eastern Extension,2018,2021,0.0,4.1,100.00%,4.1,2.0,0.2729,556.77,135.8
Changsha,Line 6 East,2018,2022,0.0,12.15,100.00%,12.15,5.0,0.2382,1462.55,120.37
Changchun,Line 4 Southern Extension,2020,2023,0.0,4.0,0.00%,0.0,6.0,0.2379,478.83,119.71
Kunming,Line 4,2016,2019,0.0,43.5,100.00%,43.5,26.0,0.2729,5885.37,135.3
Changsha,Line 4 North Extension,2018,2022,0.0,14.26,14.45%,2.06,8.0,0.2382,1627.14,114.11
Nanchang,Line 2 Western Extension,2015,2018,0.0,8.5,100.00%,8.5,7.0,0.2729,1072.60,126.19
Beijing,Line 15 Phase 1,2009,2014,0.0,41.4,66.91%,27.7,18.0,0.3004,5437.07,131.33
Shanghai,Line 6,2002,2011,0.0,33.09,63.61%,21.05,28.0,0.3719,4462.63,134.86
Wuhan,Line 1 Phase 4 (Jinghe),2015,2017,0.0,3.97,0.00%,0.0,3.0,0.2729,474.89,119.62
Changchun,Line 9 (Konggang),2019,2025,0.0,28.2,49.29%,13.9,8.0,0.2379,3006.66,106.62
Chongqing,Line 5 Phase 1 North,2013,2018,0.0,16.42,100.00%,16.42,10.0,0.2729,2647.38,161.23
Kunming,Line 6,2013,2015,0.0,25.4,,,6.0,0.2729,2770.47,109.07
Beijing,Line 13B,2019,2022,0.0,32.2,31.99%,10.3,15.0,0.2382,3010.96,93.51
Changsha,Line 5 North Extension,2019,2022,0.0,3.65,48.49%,1.77,2.0,0.2382,335.62,91.95
Beijing,Line 8 Northern Extension,2011,2013,0.0,6.328,73.45%,4.648,3.0,0.2838,911.52,144.05
Shanghai,Line 8 Phase 3 (Pujiang Line),2016,2018,0.0,6.689,0.00%,0.0,6.0,0.2729,867.09,129.63
Kunming,Line 1 Southern Extension,2013,2015,0.0,7.3,,,3.0,0.2729,653.66,89.54
Beijing,Capital Airport Express,2005,2008,0.0,28.1,0.00%,0.0,4.0,0.3517,218.89,7.79
Wenzhou,S1 Phase 1,2013,2019,0.0,53.5,18.69%,10.0,21.0,0.266,4949.94,92.52
Lanzhou,Line 2 Phase 1,2015,2020,0.0,9.4,100.00%,9.4,8.0,0.2808,1618.08,172.14
Lanzhou,Line 1 Phase 1,2011,2016,0.0,26.6,100.00%,26.6,20.0,0.2808,4818.87,181.16
Dongguan,Line 1 Phase 1,2019,2024,0.0,57.5,86.00%,49.5,24.0,0.2382,8771.32,152.54
Dongguan,Line 1 Phase 2,2023,2028,0.0,10.9,34.86%,3.8,4.0,0.2382,1442.35,132.33
Dongguan,Line 1 Phase 3,2020,2025,0.0,3.54,100.00%,3.5,1.0,0.2382,411.62,116.28
Dongguan,Line 1 Feeder Phase 1,2022,2027,0.0,25.56,100.00%,25.6,10.0,0.2382,4168.41,163.08
Dongguan,Line 2 Phase 3,2021,2026,0.0,17.5,97.54%,17.1,8.0,0.2382,2747.02,156.97
Dongguan,Line 3 Phase 1,2023,2028,0.0,50.14,100.00%,50.1,18.0,0.2382,7665.08,152.87
Dongguan,Line 3 feeder,2024,2028,0.0,1.8,100.00%,1.8,1.0,0.2382,308.96,171.64
Riyadh,Blue,2015,2016,0.0,38.0,42.63%,16.2,22.0,1.82,11941.02,314.2373684
Riyadh,Red,2014,2020,0.0,25.3,0.00%,0.0,13.0,1.82,5241.6,207.1778656
Riyadh,Orange,2014,2017,0.0,40.7,14.00%,5.7,20.0,1.82,9103.64,223.6766585
Riyadh,Yellow,2014,2020,0.0,29.6,0.00%,0.0,8.0,1.82,4131.4,139.5743243
Riyadh,Green,2015,2016,0.0,12.9,93.02%,12.0,11.0,1.82,4040.4,313.2093023
Riyadh,Purple,2014,2019,0.0,29.9,0.00%,0.0,6.0,1.82,6060.6,202.6956522
